Conexion,Modulos,Numero de modulos,Posicion objetivo,Posicion final
superior,[1],1,1.570796,[1.559547]
superior,[1],1,-1.570796,[-1.569774]
superior,[1],1,1.570796,[1.559547]
superior,[1],1,-1.570796,[-1.569774]
superior,[1],1,1.570796,[1.559547]
superior,[1],1,-1.570796,[-1.569774]
superior,[1],1,1.570796,[1.559547]
superior,[1],1,-1.570796,[-1.569774]
superior,[1],1,1.570796,[1.56466]
superior,[1],1,-1.570796,[-1.569774]
superior,[1],1,1.570796,[1.559547]
superior,[1],1,-1.570796,[-1.569774]
superior,[1],1,1.570796,[1.559547]
superior,[1],1,-1.570796,[-1.569774]
superior,[1],1,1.570796,[1.559547]
superior,[1],1,-1.570796,[-1.569774]
superior,[1],1,1.570796,[1.559547]
superior,[1],1,-1.570796,[-1.569774]
superior,[1],1,1.570796,[1.559547]
superior,[1],1,-1.570796,[-1.56466]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.56466]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.56466]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.56466]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.554434]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.554434]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.554434]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.56466]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.56466]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.56466]
superior,[3],1,1.570796,[1.559547]
superior,[3],1,-1.570796,[-1.56466]
superior,[2],1,1.570796,[1.56466]
superior,[2],1,-1.570796,[-1.574887]
superior,[2],1,1.570796,[1.56466]
superior,[2],1,-1.570796,[-1.574887]
superior,[2],1,1.570796,[1.56466]
superior,[2],1,-1.570796,[-1.574887]
superior,[2],1,1.570796,[1.56466]
superior,[2],1,-1.570796,[-1.574887]
superior,[2],1,1.570796,[1.56466]
superior,[2],1,-1.570796,[-1.574887]
superior,[2],1,1.570796,[1.56466]
superior,[2],1,-1.570796,[-1.574887]
superior,[2],1,1.570796,[1.559547]
superior,[2],1,-1.570796,[-1.574887]
superior,[2],1,1.570796,[1.56466]
superior,[2],1,-1.570796,[-1.574887]
superior,[2],1,1.570796,[1.56466]
superior,[2],1,-1.570796,[-1.574887]
superior,[2],1,1.570796,[1.559547]
superior,[2],1,-1.570796,[-1.574887]
