Distancia(mm);Vout(V);;;Distancia(mm);Vout(V)
20;2,01;;;20;2,00
20;2,00;;;22;1,89
20;2,00;;;25;1,74
20;2,00;;;30;1,54
20;2,00;;;40;1,24
20;1,99;;;55;0,96
20;2,00;;;80;0,71
20;2,00;;;105;0,57
20;2,00;;;120;0,51
20;2,00;;;130;0,47
20;2,00;;;140;0,43
20;1,99;;;145;0,41
20;2,00;;;150;0,40
20;2,00;;;;
20;2,00;;;;
20;2,07;;;0,40;
20;2,00;;;3,334651632;
20;2,00;;;;
20;2,00;;;;
20;2,00;;;;
20;2,00;;;;
20;2,00;;;;
20;2,00;;;;
20;2,00;;;;
20;2,00;;;;
20;1,99;;;;
20;2,00;;;;
20;2,00;;;;
20;2,00;;;;
20;2,09;20;2,004666667;;
22;2,00;;;;
22;1,88;;;;
22;1,88;;;;
22;1,88;;;;
22;1,88;;;;
22;1,88;;;;
22;1,88;;;;
22;1,88;;;;
22;1,88;;;;
22;1,87;;;;
22;1,88;;;Vout(V);Distancia(mm)
22;1,88;;;2,00;20
22;1,94;;;1,89;22
22;1,88;;;1,74;25
22;1,88;;;1,54;30
22;1,88;;;1,24;40
22;1,88;;;0,96;55
22;1,87;;;0,71;80
22;1,89;;;0,57;105
22;1,88;;;0,51;120
22;1,88;;;0,47;130
22;1,88;;;0,43;140
22;1,87;;;0,41;145
22;1,86;;;0,40;150
22;1,88;;;;
22;1,88;;;;
22;1,95;;;;
22;1,87;;;;
22;1,87;;;;
22;1,88;22;1,886333333;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,73;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,81;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,75;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,73;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;;;;
25;1,74;25;1,742;;
30;1,54;;;;
30;1,54;;;;
30;1,54;;;;
30;1,62;;;;
30;1,54;;;;
30;1,54;;;;
30;1,54;;;;
30;1,60;;;;
30;1,53;;;;
30;1,54;;;;
30;1,54;;;;
30;1,58;;;;
30;1,53;;;;
30;1,53;;;;
30;1,54;;;;
30;1,52;;;;
30;1,53;;;;
30;1,54;;;;
30;1,54;;;;
30;1,54;;;;
30;1,53;;;;
30;1,52;;;;
30;1,54;;;;
30;1,54;;;;
30;1,53;;;;
30;1,53;;;;
30;1,53;;;;
30;1,54;;;;
30;1,53;;;;
30;1,54;30;1,541666667;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,31;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,29;;;;
40;1,24;;;;
40;1,24;;;;
40;1,24;;;;
40;1,22;;;;
40;1,24;;;;
40;1,23;;;;
40;1,24;;;;
40;1,24;40;1,243;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,94;;;;
55;0,95;;;;
55;0,95;;;;
55;0,96;;;;
55;0,96;;;;
55;0,93;;;;
55;0,95;;;;
55;0,95;;;;
55;0,95;;;;
55;1,03;;;;
55;0,95;;;;
55;0,96;;;;
55;0,95;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;;;;
55;0,96;55;0,958333333;;
80;0,70;;;;
80;0,70;;;;
80;0,74;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,78;;;;
80;0,70;;;;
80;0,70;;;;
80;0,71;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,70;;;;
80;0,74;80;0,705666667;;
105;0,70;;;;
105;0,56;;;;
105;0,57;;;;
105;0,56;;;;
105;0,62;;;;
105;0,57;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,60;;;;
105;0,56;;;;
105;0,62;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,57;;;;
105;0,56;;;;
105;0,57;;;;
105;0,56;;;;
105;0,56;;;;
105;0,56;;;;
105;0,57;;;;
105;0,53;105;0,570666667;;
120;0,56;;;;
120;0,50;;;;
120;0,51;;;;
120;0,51;;;;
120;0,50;;;;
120;0,50;;;;
120;0,58;;;;
120;0,50;;;;
120;0,50;;;;
120;0,51;;;;
120;0,50;;;;
120;0,50;;;;
120;0,51;;;;
120;0,51;;;;
120;0,50;;;;
120;0,54;;;;
120;0,50;;;;
120;0,51;;;;
120;0,50;;;;
120;0,50;;;;
120;0,50;;;;
120;0,50;;;;
120;0,50;;;;
120;0,47;;;;
120;0,51;;;;
120;0,50;;;;
120;0,51;;;;
120;0,51;;;;
120;0,50;;;;
120;0,51;120;0,508333333;;
130;0,47;;;;
130;0,46;;;;
130;0,47;;;;
130;0,47;;;;
130;0,47;;;;
130;0,46;;;;
130;0,46;;;;
130;0,46;;;;
130;0,46;;;;
130;0,46;;;;
130;0,46;;;;
130;0,47;;;;
130;0,46;;;;
130;0,47;;;;
130;0,47;;;;
130;0,46;;;;
130;0,46;;;;
130;0,46;;;;
130;0,47;;;;
130;0,47;;;;
130;0,47;;;;
130;0,46;;;;
130;0,47;;;;
130;0,46;;;;
130;0,46;;;;
130;0,54;;;;
130;0,46;;;;
130;0,47;;;;
130;0,47;;;;
130;0,46;130;0,467;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,45;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,42;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;;;;
140;0,43;140;0,430333333;;
145;0,41;;;;
145;0,40;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,48;;;;
145;0,41;;;;
145;0,41;;;;
145;0,40;;;;
145;0,41;;;;
145;0,48;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;;;;
145;0,41;145;0,414;;
150;0,39;;;;
150;0,41;;;;
150;0,41;;;;
150;0,39;;;;
150;0,39;;;;
150;0,41;;;;
150;0,39;;;;
150;0,41;;;;
150;0,41;;;;
150;0,40;;;;
150;0,42;;;;
150;0,41;;;;
150;0,39;;;;
150;0,41;;;;
150;0,41;;;;
150;0,39;;;;
150;0,39;;;;
150;0,41;;;;
150;0,41;;;;
150;0,41;;;;
150;0,39;;;;
150;0,39;;;;
150;0,39;;;;
150;0,39;;;;
150;0,39;;;;
150;0,39;;;;
150;0,41;;;;
150;0,48;;;;
150;0,41;;;;
150;0,41;150;0,403666667;;
